Violations,AntennaViolations,RunTimeRoute,RunTimePlace,layercount,LayerM1,LayerM2,LayerM3,LayerM4,LayerM5,LayerM6,LayerM7,LayerL1,LayerL2,LayerL3,LayerL4,LayerBA,LayerBB,LayerBD,LayerBE,LayerBG,LayerFA,LayerFB,LayerU3T,LayerU3A,LayerLB,ViaCounts,NetCount,MetalStack,Date,Type40LP,RowDirection,RowCount,CoreUtil,CoreWidth,CoreHeight,AspectRatio,DoubleBack,FlipFirstRow,StartfromFirstRow
0,0,67,168,8,0,95721,124306,98968,55378,15174,0,0,0,0,0,2119,0,0,0,0,0,0,0,0,0,243738,25164,6L1x_1T2x_LB,020619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,165,174,8,0,91455,109039,98226,65712,24419,0,0,0,0,0,7218,0,0,0,0,0,0,0,0,0,247863,25164,6L1x_1T2x_LB,050619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,74,174,9,1,98923,123689,107032,49477,20200,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,244858,25124,6L1x_1T6x_1T18x_LB,020619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,154,174,9,0,93386,109077,106969,63636,30174,0,0,0,0,0,0,0,0,0,0,724,0,0,0,0,248371,25124,6L1x_1T6x_1T18x_LB,050619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,81,242,8,0,96303,124520,101117,56443,12144,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,243503,25324,6L1x_1T6x_LB,020619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,151,175,8,0,91560,108972,99635,72120,22750,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,247228,25324,6L1x_1T6x_LB,050619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,60,159,9,2,97516,123322,109734,62293,16226,0,0,0,0,0,0,0,0,0,0,1012,0,0,0,0,246455,25223,6L1x_2T6x_LB,020619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,146,178,9,1,91928,107428,107398,77092,28602,0,0,0,0,0,0,0,0,0,0,2255,91,0,0,0,250507,25223,6L1x_2T6x_LB,050619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,76,184,9,0,97319,121902,105280,47085,22022,3317,0,0,0,0,1476,0,0,0,0,0,0,0,0,0,245031,25140,7L1x_1T2x_LB,020619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,160,172,9,0,91751,107159,102577,59201,31841,6502,0,0,0,0,3743,0,0,0,0,0,0,0,0,0,249593,25140,7L1x_1T2x_LB,050619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
